Id : StandAnim - walkAnim - rotate180Animation - rotate90LeftAnimation - rotate90RightAnimation 
53 : 5572 : 5570 : 5790 : 5789 : 5788
54 : 5572 : 5570 : 5790 : 5789 : 5788
55 : 5572 : 5570 : 5790 : 5789 : 5788
56 : 5565 : 5570 : 5790 : 5789 : 5788
57 : 5572 : 5570 : 5790 : 5789 : 5788
58 : 5576 : 5577 : 5793 : 5791 : 5792
59 : 5572 : 5570 : 5790 : 5789 : 5788
60 : 5572 : 5570 : 5790 : 5789 : 5788
61 : 5572 : 5570 : 5790 : 5789 : 5788
62 : 5572 : 5570 : 5790 : 5789 : 5788
63 : 5572 : 5570 : 5790 : 5789 : 5788
64 : 5572 : 5570 : 5790 : 5789 : 5788
65 : 5572 : 5570 : 5790 : 5789 : 5788
66 : 5572 : 5570 : 5790 : 5789 : 5788
67 : 5572 : 5570 : 5790 : 5789 : 5788
68 : 5572 : 5570 : 5790 : 5789 : 5788
69 : 5565 : 5566 : 5790 : 5789 : 5788
70 : 5483 : 5481 : 65535 : 65535 : 65535
71 : 5483 : 5479 : 65535 : 65535 : 65535
72 : 5483 : 5479 : 65535 : 65535 : 65535
73 : 5483 : 5481 : 65535 : 65535 : 65535
74 : 5483 : 5481 : 65535 : 65535 : 65535
75 : 5483 : 5479 : 65535 : 65535 : 65535
76 : 5483 : 5479 : 65535 : 65535 : 65535
77 : 5483 : 5481 : 65535 : 65535 : 65535
78 : 5483 : 5481 : 65535 : 65535 : 65535
79 : 5483 : 5481 : 65535 : 65535 : 65535
80 : 5483 : 5481 : 65535 : 65535 : 65535
81 : 5483 : 5479 : 65535 : 65535 : 65535
82 : 5493 : 5497 : 65535 : 65535 : 65535
83 : 5495 : 5497 : 65535 : 65535 : 65535
84 : 5483 : 5479 : 65535 : 65535 : 65535
85 : 5538 : 5539 : 65535 : 65535 : 65535
86 : 5530 : 5531 : 65535 : 65535 : 65535
87 : 5530 : 5531 : 65535 : 65535 : 65535
88 : 5530 : 5531 : 65535 : 65535 : 65535
89 : 5530 : 5531 : 65535 : 65535 : 65535
90 : 5530 : 5531 : 65535 : 65535 : 65535
91 : 5530 : 5531 : 65535 : 65535 : 65535
92 : 5530 : 5531 : 65535 : 65535 : 65535
93 : 5530 : 5531 : 65535 : 65535 : 65535
94 : 5530 : 5531 : 65535 : 65535 : 65535
95 : 5530 : 5531 : 65535 : 65535 : 65535
96 : 5530 : 5531 : 65535 : 65535 : 65535
97 : 5530 : 5531 : 65535 : 65535 : 65535
98 : 337 : 336 : 65535 : 65535 : 65535
99 : 4914 : 4913 : 65535 : 65535 : 65535
100 : 1310 : 1311 : 65535 : 65535 : 65535
101 : 1315 : 1311 : 65535 : 65535 : 65535
102 : 1310 : 1311 : 65535 : 65535 : 65535
103 : 1315 : 1311 : 65535 : 65535 : 65535
104 : 6561 : 6583 : 65535 : 65535 : 65535
105 : 6561 : 6583 : 65535 : 65535 : 65535
106 : 6580 : 6556 : 65535 : 65535 : 65535
107 : 6580 : 6556 : 65535 : 65535 : 65535
108 : 6580 : 6556 : 65535 : 65535 : 65535
109 : 6580 : 6556 : 65535 : 65535 : 65535
110 : 6580 : 6556 : 65535 : 65535 : 65535
111 : 6561 : 6560 : 65535 : 65535 : 65535
112 : 6561 : 6560 : 65535 : 65535 : 65535
113 : 6561 : 6560 : 65535 : 65535 : 65535
114 : 6561 : 6560 : 65535 : 65535 : 65535
115 : 6580 : 6556 : 65535 : 65535 : 65535
116 : 6580 : 6556 : 65535 : 65535 : 65535
117 : 6580 : 6556 : 65535 : 65535 : 65535
118 : 808 : 819 : 820 : 822 : 821
119 : 813 : 1146 : 820 : 822 : 821
120 : -1 : -1 : -1 : -1 : -1
121 : -1 : -1 : -1 : -1 : -1
122 : -1 : -1 : -1 : -1 : -1
123 : -1 : -1 : -1 : -1 : -1
124 : -1 : -1 : -1 : -1 : -1
125 : -1 : -1 : -1 : -1 : -1
126 : -1 : -1 : -1 : -1 : -1
127 : -1 : -1 : -1 : -1 : -1
128 : -1 : -1 : -1 : -1 : -1
129 : 3617 : 3617 : 65535 : 65535 : 65535
130 : 5483 : 5479 : 65535 : 65535 : 65535
131 : 6561 : 6560 : 65535 : 65535 : 65535
132 : 166 : 162 : 65535 : 65535 : 65535
133 : 286 : 283 : 65535 : 65535 : 65535
134 : 5318 : 5317 : 65535 : 65535 : 65535
135 : 6561 : 6583 : 65535 : 65535 : 65535
136 : 357 : 358 : 65535 : 65535 : 65535
137 : 27 : 21 : 65535 : 65535 : 65535
138 : 6218 : 6220 : 65535 : 65535 : 65535
139 : 6496 : 79 : 65535 : 65535 : 65535
140 : 1338 : 1339 : 65535 : 65535 : 65535
141 : 2631 : 2632 : 65535 : 65535 : 65535
142 : 66 : 63 : 65535 : 65535 : 65535
143 : 3707 : 3708 : 65535 : 65535 : 65535
144 : -1 : -1 : -1 : -1 : -1
145 : -1 : -1 : -1 : -1 : -1
146 : -1 : -1 : -1 : -1 : -1
147 : -1 : -1 : -1 : -1 : -1
148 : -1 : -1 : -1 : -1 : -1
149 : -1 : -1 : -1 : -1 : -1
150 : -1 : -1 : -1 : -1 : -1
151 : -1 : -1 : -1 : -1 : -1
152 : -1 : -1 : -1 : -1 : -1
153 : -1 : -1 : -1 : -1 : -1
154 : 112 : 106 : 65535 : 65535 : 65535
155 : 808 : 819 : 820 : 822 : 821
156 : -1 : -1 : -1 : -1 : -1
157 : -1 : -1 : -1 : -1 : -1
158 : -1 : -1 : -1 : -1 : -1
159 : -1 : -1 : -1 : -1 : -1
160 : -1 : -1 : -1 : -1 : -1
161 : -1 : -1 : -1 : -1 : -1
162 : -1 : -1 : -1 : -1 : -1
163 : -1 : -1 : -1 : -1 : -1
164 : -1 : -1 : -1 : -1 : -1
165 : -1 : -1 : -1 : -1 : -1
166 : -1 : -1 : -1 : -1 : -1
167 : -1 : -1 : -1 : -1 : -1
168 : -1 : -1 : -1 : -1 : -1
169 : -1 : -1 : -1 : -1 : -1
170 : -1 : -1 : -1 : -1 : -1
171 : -1 : -1 : -1 : -1 : -1
172 : -1 : -1 : -1 : -1 : -1
173 : -1 : -1 : -1 : -1 : -1
174 : -1 : -1 : -1 : -1 : -1
175 : -1 : -1 : -1 : -1 : -1
176 : -1 : -1 : -1 : -1 : -1
177 : -1 : -1 : -1 : -1 : -1
178 : -1 : -1 : -1 : -1 : -1
179 : -1 : -1 : -1 : -1 : -1
180 : -1 : -1 : -1 : -1 : -1
181 : -1 : -1 : -1 : -1 : -1
182 : -1 : -1 : -1 : -1 : -1
183 : -1 : -1 : -1 : -1 : -1
184 : -1 : -1 : -1 : -1 : -1
185 : -1 : -1 : -1 : -1 : -1
186 : -1 : -1 : -1 : -1 : -1
187 : -1 : -1 : -1 : -1 : -1
188 : -1 : -1 : -1 : -1 : -1
189 : -1 : -1 : -1 : -1 : -1
190 : -1 : -1 : -1 : -1 : -1
191 : -1 : -1 : -1 : -1 : -1
192 : -1 : -1 : -1 : -1 : -1
193 : -1 : -1 : -1 : -1 : -1
194 : -1 : -1 : -1 : -1 : -1
195 : -1 : -1 : -1 : -1 : -1
196 : -1 : -1 : -1 : -1 : -1
197 : -1 : -1 : -1 : -1 : -1
198 : -1 : -1 : -1 : -1 : -1
199 : -1 : -1 : -1 : -1 : -1
200 : -1 : -1 : -1 : -1 : -1
201 : -1 : -1 : -1 : -1 : -1
202 : -1 : -1 : -1 : -1 : -1
203 : -1 : -1 : -1 : -1 : -1
204 : -1 : -1 : -1 : -1 : -1
205 : -1 : -1 : -1 : -1 : -1
206 : -1 : -1 : -1 : -1 : -1
207 : -1 : -1 : -1 : -1 : -1
208 : -1 : -1 : -1 : -1 : -1
209 : -1 : -1 : -1 : -1 : -1
210 : -1 : -1 : -1 : -1 : -1
211 : -1 : -1 : -1 : -1 : -1
212 : -1 : -1 : -1 : -1 : -1
213 : -1 : -1 : -1 : -1 : -1
214 : -1 : -1 : -1 : -1 : -1
215 : -1 : -1 : -1 : -1 : -1
216 : -1 : -1 : -1 : -1 : -1
217 : -1 : -1 : -1 : -1 : -1
218 : -1 : -1 : -1 : -1 : -1
219 : -1 : -1 : -1 : -1 : -1
220 : -1 : -1 : -1 : -1 : -1
221 : 808 : 819 : 820 : 822 : 821
223 : 808 : 819 : 820 : 822 : 821
225 : 808 : 819 : 820 : 822 : 821
227 : 808 : 819 : 820 : 822 : 821
229 : 808 : 819 : 820 : 822 : 821
231 : 6580 : 6556 : 65535 : 65535 : 65535
232 : 6580 : 6556 : 65535 : 65535 : 65535
233 : 5668 : 5666 : 65535 : 65535 : 65535
234 : 362 : 362 : 65535 : 65535 : 65535
235 : 362 : 362 : 65535 : 65535 : 65535
236 : 362 : 362 : 65535 : 65535 : 65535
237 : 362 : 362 : 65535 : 65535 : 65535
238 : 362 : 362 : 65535 : 65535 : 65535
239 : 90 : 4635 : 65535 : 65535 : 65535
240 : 27 : 21 : 65535 : 65535 : 65535
241 : 27 : 21 : 65535 : 65535 : 65535
242 : 27 : 21 : 65535 : 65535 : 65535
243 : 27 : 21 : 65535 : 65535 : 65535
244 : 27 : 21 : 65535 : 65535 : 65535
245 : 27 : 21 : 65535 : 65535 : 65535
246 : 27 : 21 : 65535 : 65535 : 65535
247 : 90 : 79 : 65535 : 65535 : 65535
248 : 90 : 79 : 65535 : 65535 : 65535
249 : 90 : 79 : 65535 : 65535 : 65535
250 : 90 : 79 : 65535 : 65535 : 65535
251 : 90 : 79 : 65535 : 65535 : 65535
252 : 90 : 79 : 65535 : 65535 : 65535
253 : 90 : 79 : 65535 : 65535 : 65535
254 : 90 : 79 : 65535 : 65535 : 65535
255 : 90 : 79 : 65535 : 65535 : 65535
256 : 90 : 79 : 65535 : 65535 : 65535
257 : 90 : 79 : 65535 : 65535 : 65535
258 : 90 : 79 : 65535 : 65535 : 65535
259 : 90 : 79 : 65535 : 65535 : 65535
260 : 90 : 79 : 65535 : 65535 : 65535
261 : 90 : 79 : 65535 : 65535 : 65535
262 : 90 : 79 : 65535 : 65535 : 65535
263 : 90 : 79 : 65535 : 65535 : 65535
264 : 90 : 79 : 65535 : 65535 : 65535
265 : 90 : 79 : 65535 : 65535 : 65535
266 : 90 : 79 : 65535 : 65535 : 65535
267 : 90 : 79 : 65535 : 65535 : 65535
268 : 90 : 79 : 65535 : 65535 : 65535
269 : 90 : 79 : 65535 : 65535 : 65535
270 : 90 : 79 : 65535 : 65535 : 65535
271 : 90 : 79 : 65535 : 65535 : 65535
272 : 90 : 79 : 65535 : 65535 : 65535
273 : 90 : 79 : 65535 : 65535 : 65535
274 : 90 : 79 : 65535 : 65535 : 65535
275 : 90 : 79 : 65535 : 65535 : 65535
276 : 6864 : 6867 : 65535 : 65535 : 65535
277 : 6864 : 6867 : 65535 : 65535 : 65535
278 : 6864 : 6867 : 65535 : 65535 : 65535
279 : 6864 : 6867 : 65535 : 65535 : 65535
280 : 6864 : 6867 : 65535 : 65535 : 65535
281 : 6771 : 6773 : 65535 : 65535 : 65535
282 : 6772 : 6774 : 65535 : 65535 : 65535
283 : 6772 : 6774 : 65535 : 65535 : 65535
284 : 6771 : 6773 : 65535 : 65535 : 65535
285 : 6771 : 6773 : 65535 : 65535 : 65535
286 : 6771 : 6773 : 65535 : 65535 : 65535
287 : 6772 : 6774 : 65535 : 65535 : 65535
288 : 6772 : 6774 : 65535 : 65535 : 65535
289 : 1275 : 819 : 820 : 822 : 821
290 : 101 : 98 : 65535 : 65535 : 65535
291 : 101 : 98 : 65535 : 65535 : 65535
292 : 101 : 98 : 65535 : 65535 : 65535
293 : 101 : 98 : 65535 : 65535 : 65535
294 : 101 : 98 : 65535 : 65535 : 65535
295 : 101 : 98 : 65535 : 65535 : 65535
296 : 101 : 98 : 65535 : 65535 : 65535
297 : 101 : 98 : 65535 : 65535 : 65535
298 : 101 : 98 : 65535 : 65535 : 65535
299 : 808 : 819 : 820 : 822 : 821
300 : 808 : 819 : 820 : 822 : 821
301 : 808 : 819 : 820 : 822 : 821
302 : 808 : 819 : 820 : 822 : 821
303 : 808 : 819 : 820 : 822 : 821
304 : 808 : 819 : 820 : 822 : 821
305 : 813 : 813 : 65535 : 65535 : 65535
306 : 813 : 1205 : 1206 : 1208 : 1207
307 : 808 : 819 : 820 : 822 : 821
309 : -1 : -1 : -1 : -1 : -1
310 : 2163 : 2164 : 65535 : 65535 : 65535
311 : 808 : 819 : 820 : 822 : 821
312 : 1796 : 1797 : 65535 : 65535 : 65535
313 : -1 : -1 : -1 : -1 : -1
314 : 808 : 819 : 820 : 822 : 821
315 : 813 : 1205 : 1206 : 1208 : 1207
316 : 813 : 1205 : 1206 : 1208 : 1207
317 : 808 : 819 : 820 : 822 : 821
318 : 1688 : 2417 : 65535 : 65535 : 65535
319 : 1678 : 1684 : 65535 : 65535 : 65535
320 : 1688 : -1 : -1 : -1 : -1
321 : 808 : -1 : -1 : -1 : -1
322 : 900 : 104 : 65535 : 65535 : 65535
323 : 349 : -1 : -1 : -1 : -1
325 : -1 : -1 : -1 : -1 : -1
326 : 792 : 792 : 65535 : 65535 : 65535
327 : 792 : 792 : 65535 : 65535 : 65535
328 : -1 : -1 : -1 : -1 : -1
329 : -1 : -1 : -1 : -1 : -1
330 : 0 : 0 : 65535 : 65535 : 65535
331 : -1 : -1 : -1 : -1 : -1
332 : 1137 : -1 : -1 : -1 : -1
333 : 1137 : -1 : -1 : -1 : -1
334 : 1137 : -1 : -1 : -1 : -1
335 : -1 : -1 : -1 : -1 : -1
336 : -1 : -1 : -1 : -1 : -1
337 : 808 : 819 : 820 : 822 : 821
338 : 3999 : 3999 : 65535 : 65535 : 65535
339 : 3999 : 3999 : 65535 : 65535 : 65535
340 : 3999 : 3999 : 65535 : 65535 : 65535
341 : 3999 : 3999 : 65535 : 65535 : 65535
342 : 808 : 819 : 820 : 822 : 821
343 : 808 : 819 : 820 : 822 : 821
344 : 808 : 819 : 820 : 822 : 821
345 : 808 : 819 : 820 : 822 : 821
346 : 808 : 819 : 820 : 822 : 821
347 : 808 : 819 : 820 : 822 : 821
348 : 3999 : 3999 : 65535 : 65535 : 65535
349 : 808 : 819 : 820 : 822 : 821
350 : 808 : 819 : 820 : 822 : 821
351 : 808 : 819 : 820 : 822 : 821
352 : 808 : 819 : 820 : 822 : 821
353 : 3999 : 3999 : 65535 : 65535 : 65535
354 : 808 : 819 : 820 : 822 : 821
355 : 808 : 819 : 820 : 822 : 821
356 : 808 : 819 : 820 : 822 : 821
357 : 808 : 819 : 820 : 822 : 821
358 : 808 : 819 : 820 : 822 : 821
359 : 808 : 819 : 820 : 822 : 821
360 : 3999 : 3999 : 65535 : 65535 : 65535
361 : 808 : 819 : 820 : 822 : 821
362 : 808 : 819 : 820 : 822 : 821
363 : 808 : 819 : 820 : 822 : 821
364 : 808 : 819 : 820 : 822 : 821
365 : 808 : 819 : 820 : 822 : 821
366 : 808 : 819 : 820 : 822 : 821
367 : 808 : 819 : 820 : 822 : 821
368 : 808 : 819 : 820 : 822 : 821
369 : 3049 : 3048 : 65535 : 65535 : 65535
370 : 3049 : 3048 : 65535 : 65535 : 65535
371 : 3049 : 3048 : 65535 : 65535 : 65535
372 : 808 : 819 : 820 : 822 : 821
373 : 2370 : 2369 : 65535 : 65535 : 65535
374 : 2370 : 2369 : 65535 : 65535 : 65535
375 : 4591 : 4226 : 4227 : 822 : 821
376 : 4591 : 4226 : 4227 : 822 : 821
377 : 808 : -1 : -1 : -1 : -1
378 : 0 : 0 : 65535 : 65535 : 65535
379 : 808 : 819 : 820 : 822 : 821
380 : 808 : 819 : 820 : 822 : 821
381 : 808 : 819 : 820 : 822 : 821
382 : 808 : 819 : 820 : 822 : 821
383 : 808 : 819 : 820 : 822 : 821
385 : 808 : 819 : 820 : 822 : 821
386 : 808 : 819 : 820 : 822 : 821
387 : 808 : 819 : 820 : 822 : 821
388 : 1688 : 2417 : 65535 : 65535 : 65535
389 : -1 : -1 : -1 : -1 : -1
390 : 317 : 314 : 65535 : 65535 : 65535
391 : 808 : 819 : 820 : 822 : 821
392 : 808 : 819 : 820 : 822 : 821
393 : 808 : 819 : 820 : 822 : 821
394 : 808 : 808 : 65535 : 65535 : 65535
395 : 808 : 808 : 65535 : 65535 : 65535
396 : 808 : 808 : 65535 : 65535 : 65535
397 : 808 : 808 : 65535 : 65535 : 65535
398 : 112 : 112 : 65535 : 65535 : 65535
399 : 808 : 808 : 65535 : 65535 : 65535
400 : 808 : 808 : 65535 : 65535 : 65535
401 : 813 : 1205 : 1206 : 1208 : 1207
402 : 808 : 819 : 820 : 822 : 821
403 : 2561 : 819 : 820 : 822 : 821
404 : 112 : 106 : 65535 : 65535 : 65535
405 : 808 : 819 : 820 : 822 : 821
406 : 226 : 225 : 65535 : 65535 : 65535
407 : 226 : 225 : 65535 : 65535 : 65535
408 : 226 : 225 : 65535 : 65535 : 65535
409 : 226 : 225 : 65535 : 65535 : 65535
410 : 1511 : 1510 : 65535 : 65535 : 65535
411 : 1511 : 1510 : 65535 : 65535 : 65535
412 : 1516 : 1515 : 65535 : 65535 : 65535
413 : -1 : -1 : -1 : -1 : -1
414 : 1522 : 1521 : 65535 : 65535 : 65535
415 : 1536 : 1534 : 65535 : 65535 : 65535
416 : 1536 : 1534 : 65535 : 65535 : 65535
417 : 1545 : 1544 : 65535 : 65535 : 65535
418 : 1545 : 1544 : 65535 : 65535 : 65535
419 : 1561 : 1559 : 65535 : 65535 : 65535
420 : 1561 : 1559 : 65535 : 65535 : 65535
421 : 1566 : 1564 : 65535 : 65535 : 65535
422 : 1566 : 1564 : 65535 : 65535 : 65535
423 : 1556 : 1554 : 65535 : 65535 : 65535
424 : 1556 : 1554 : 65535 : 65535 : 65535
425 : 1556 : 1554 : 65535 : 65535 : 65535
426 : 1594 : 1593 : 65535 : 65535 : 65535
427 : 1594 : 1593 : 65535 : 65535 : 65535
428 : 1594 : 1593 : 65535 : 65535 : 65535
429 : 1594 : 1593 : 65535 : 65535 : 65535
430 : 1594 : 1593 : 65535 : 65535 : 65535
431 : 1594 : 1593 : 65535 : 65535 : 65535
432 : 1594 : 1593 : 65535 : 65535 : 65535
433 : 1578 : 1579 : 65535 : 65535 : 65535
434 : 1578 : 1579 : 65535 : 65535 : 65535
435 : 1578 : 1579 : 65535 : 65535 : 65535
436 : 1578 : 1579 : 65535 : 65535 : 65535
437 : 1583 : 1584 : 65535 : 65535 : 65535
438 : 1583 : 1584 : 65535 : 65535 : 65535
439 : 1583 : 1584 : 65535 : 65535 : 65535
440 : 1583 : 1584 : 65535 : 65535 : 65535
441 : 1583 : 1584 : 65535 : 65535 : 65535
442 : 1583 : 1584 : 65535 : 65535 : 65535
443 : 813 : 1205 : 1206 : 1208 : 1207
444 : 813 : 1205 : 1206 : 1208 : 1207
445 : 813 : 1205 : 1206 : 1208 : 1207
446 : 813 : 1205 : 1206 : 1208 : 1207
447 : 813 : 1205 : 1206 : 1208 : 1207
448 : 1588 : 1589 : 65535 : 65535 : 65535
449 : 1588 : 1589 : 65535 : 65535 : 65535
450 : 1588 : 1589 : 65535 : 65535 : 65535
451 : 1588 : 1589 : 65535 : 65535 : 65535
452 : 1588 : 1589 : 65535 : 65535 : 65535
453 : 1588 : 1589 : 65535 : 65535 : 65535
454 : 1588 : 1589 : 65535 : 65535 : 65535
455 : 1588 : 1589 : 65535 : 65535 : 65535
456 : 1588 : 1589 : 65535 : 65535 : 65535
457 : 1588 : 1589 : 65535 : 65535 : 65535
458 : 2774 : 2775 : 65535 : 65535 : 65535
459 : 2774 : 2775 : 65535 : 65535 : 65535
460 : 2774 : 2775 : 65535 : 65535 : 65535
461 : 2774 : 2775 : 65535 : 65535 : 65535
462 : 2774 : 2775 : 65535 : 65535 : 65535
463 : 2774 : 2775 : 65535 : 65535 : 65535
464 : 3108 : 3108 : 65535 : 65535 : 65535
465 : 2984 : 2982 : 65535 : 65535 : 65535
466 : 2984 : 2982 : 65535 : 65535 : 65535
467 : 2984 : 2982 : 65535 : 65535 : 65535
468 : 2984 : 2982 : 65535 : 65535 : 65535
469 : 1796 : 1797 : 65535 : 65535 : 65535
470 : 1796 : 1797 : 65535 : 65535 : 65535
471 : 1796 : 1797 : 65535 : 65535 : 65535
472 : 1796 : 1797 : 65535 : 65535 : 65535
473 : 1796 : 1797 : 65535 : 65535 : 65535
474 : 1796 : 1797 : 65535 : 65535 : 65535
475 : 1796 : 1797 : 65535 : 65535 : 65535
476 : 1796 : 1797 : 65535 : 65535 : 65535
477 : 1796 : 1797 : 65535 : 65535 : 65535
478 : 1796 : 1797 : 65535 : 65535 : 65535
479 : 1796 : 1797 : 65535 : 65535 : 65535
480 : 1790 : 1788 : 65535 : 65535 : 65535
481 : 6078 : 6077 : 65535 : 65535 : 65535
482 : 1782 : 1781 : 65535 : 65535 : 65535
483 : 6078 : 6077 : 65535 : 65535 : 65535
484 : 1551 : 1549 : 65535 : 65535 : 65535
485 : 1551 : 1549 : 65535 : 65535 : 65535
486 : 1551 : 1549 : 65535 : 65535 : 65535
487 : 1551 : 1549 : 65535 : 65535 : 65535
488 : 3169 : 3169 : 65535 : 65535 : 65535
489 : 3168 : 3167 : 65535 : 65535 : 65535
490 : 813 : 1205 : 1206 : 1208 : 1207
491 : 3989 : 3989 : 65535 : 65535 : 65535
492 : 3989 : 3989 : 65535 : 65535 : 65535
493 : 6737 : 6737 : 65535 : 65535 : 65535
494 : 3989 : 3989 : 65535 : 65535 : 65535
495 : 5326 : 5325 : 65535 : 65535 : 65535
496 : 6737 : 6737 : 65535 : 65535 : 65535
497 : 4919 : 4923 : 65535 : 65535 : 65535
498 : 1829 : 1828 : 65535 : 65535 : 65535
499 : 1829 : 1828 : 65535 : 65535 : 65535
500 : 808 : 819 : 820 : 822 : 821
501 : 808 : 819 : 820 : 822 : 821
502 : 808 : 819 : 820 : 822 : 821
503 : 808 : 819 : 820 : 822 : 821
504 : 808 : 819 : 820 : 822 : 821
505 : 808 : 819 : 820 : 822 : 821
506 : 808 : 819 : 820 : 822 : 821
507 : 808 : 819 : 820 : 822 : 821
508 : 808 : 819 : 820 : 822 : 821
509 : 808 : 819 : 820 : 822 : 821
510 : 808 : 819 : 820 : 822 : 821
511 : 808 : 819 : 820 : 822 : 821
512 : 808 : 819 : 820 : 822 : 821
513 : 808 : 819 : 820 : 822 : 821
514 : 808 : 819 : 820 : 822 : 821
515 : 808 : 819 : 820 : 822 : 821
516 : 808 : 819 : 820 : 822 : 821
517 : 808 : 819 : 820 : 822 : 821
518 : 808 : 819 : 820 : 822 : 821
519 : 808 : 819 : 820 : 822 : 821
520 : 112 : 106 : 65535 : 65535 : 65535
521 : 112 : 106 : 65535 : 65535 : 65535
522 : 808 : 819 : 820 : 822 : 821
523 : 808 : 819 : 820 : 822 : 821
524 : 808 : 819 : 820 : 822 : 821
525 : 808 : 819 : 820 : 822 : 821
526 : 808 : 819 : 820 : 822 : 821
527 : 808 : 819 : 820 : 822 : 821
528 : 808 : 819 : 820 : 822 : 821
529 : 808 : 819 : 820 : 822 : 821
530 : 808 : 819 : 820 : 822 : 821
531 : 808 : 819 : 820 : 822 : 821
532 : 813 : 819 : 820 : 822 : 821
533 : 808 : 819 : 820 : 822 : 821
534 : 808 : 819 : 820 : 822 : 821
535 : 808 : 819 : 820 : 822 : 821
536 : 808 : 819 : 820 : 822 : 821
537 : 808 : 819 : 820 : 822 : 821
538 : 808 : 819 : 820 : 822 : 821
539 : 808 : 819 : 820 : 822 : 821
540 : 317 : 314 : 65535 : 65535 : 65535
541 : 317 : 314 : 65535 : 65535 : 65535
542 : 5877 : 5876 : 65535 : 65535 : 65535
543 : 5877 : 5876 : 65535 : 65535 : 65535
544 : 5877 : 5876 : 65535 : 65535 : 65535
545 : 5877 : 5876 : 65535 : 65535 : 65535
546 : 808 : 819 : 820 : 822 : 821
547 : 5859 : 5858 : 65535 : 65535 : 65535
548 : 5873 : 5872 : 65535 : 65535 : 65535
549 : 5875 : 5876 : 65535 : 65535 : 65535
550 : 5875 : 5876 : 65535 : 65535 : 65535
551 : 5646 : 5645 : 65535 : 65535 : 65535
552 : 5646 : 5645 : 65535 : 65535 : 65535
553 : 5646 : 5645 : 65535 : 65535 : 65535
554 : 5646 : 5645 : 65535 : 65535 : 65535
555 : 5646 : 5645 : 65535 : 65535 : 65535
556 : 5646 : 5645 : 65535 : 65535 : 65535
557 : 5877 : 5876 : 65535 : 65535 : 65535
558 : 5877 : 5876 : 65535 : 65535 : 65535
559 : 5877 : 5876 : 65535 : 65535 : 65535
560 : 5877 : 5876 : 65535 : 65535 : 65535
561 : 5641 : 5642 : 65535 : 65535 : 65535
562 : 5641 : 5642 : 65535 : 65535 : 65535
563 : 5646 : 5645 : 65535 : 65535 : 65535
564 : 5646 : 5645 : 65535 : 65535 : 65535
565 : 5646 : 5645 : 65535 : 65535 : 65535
566 : 5646 : 5645 : 65535 : 65535 : 65535
567 : 5646 : 5645 : 65535 : 65535 : 65535
568 : 5646 : 5645 : 65535 : 65535 : 65535
569 : 5646 : 5645 : 65535 : 65535 : 65535
